File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\showMyBill.jsp,339,296,93,6,33,1,10,48,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\showMyBill_Print.jsp,375,333,92,5,32,0,10,42,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\uploadImage.jsp,124,96,55,8,21,0,7,62,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\userinfo.jsp,442,378,77,8,54,1,10,60,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\viewProducts_.jsp,314,221,45,9,42,1,51,162,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\960_16.css,432,310,189,0,98,0,24,76,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\lightbox.css,182,142,118,0,15,0,25,102,1,4
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\product.css,58,43,35,0,14,0,1,3,1,3
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\reset.css,312,238,104,0,40,0,34,88,2,5
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\slider.css,59,46,41,0,11,13,2,141,1,3
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\styles.css,774,652,548,0,119,0,3,9,1,3
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\text.css,192,146,102,0,33,0,13,22,2,3
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\forms\button.css,94,75,47,0,10,0,9,74,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\forms\checkbox.css,175,147,111,0,23,1,5,44,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\forms\list.css,96,80,54,0,15,3,1,18,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\css\forms\select.css,57,45,36,0,6,0,6,44,6,44
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_footer.jsp,38,38,0,0,0,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_joinNow.jsp,117,110,0,0,7,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_logout.jsp,58,52,19,3,6,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_search_navigationbar.jsp,109,85,38,5,18,0,6,12,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_stylesheets.jsp,5,5,0,0,0,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\_topLogin.jsp,105,96,0,0,9,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_LineDiagram1_productsPendinginmonth.jsp,374,276,113,19,37,0,61,185,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_pieChartItemsSoldByCategory.jsp,141,100,42,3,22,0,19,71,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_pieChartItemsViewedByCategory.jsp,136,99,42,3,18,0,19,71,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10ProductsSold.jsp,136,105,37,5,18,1,13,45,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10ProductsSold720px.jsp,126,103,37,5,18,1,5,19,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10Products_viewed.jsp,119,102,37,5,14,1,3,19,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gCharts_top10Products_Viewed720px.jsp,116,102,37,5,14,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\gChartings\gChart_ComboLine.jsp,414,317,140,31,35,0,62,187,0,0
